idbarrio#,namebarrio,id_barrio,No lee %,Asiste a Educación 5-21 años,Asiste a Educación superior,Desempleo,Estrato,barrio,Pertenenci,Cluster,cluster
413,La Isla,0413,0.043298258,0.43802521,0.109539417,0.251110289,2,La Isla,0.122002936,0,4
414,Marco Fidel Suarez,0414,0.033751205,0.597359736,0.144648023,0.215605749,2,Marco Fidel Suárez,0.033944954,2,4
415,Evaristo Garcia,0415,0.022727273,0.688622754,0.232954545,0.19846678,2,Evaristo Garcia,0.059143969,2,1
416,La Esmeralda,0416,0.018147087,0.707154742,0.334288443,0.177031093,2,La Esmeralda,0.053040695,2,1
417,Bolivariano,0417,0.042780749,0.596638655,0.193404635,0.220630372,2,Bolivariano,0.108952703,2,4
418,Olaya Herrera,0418,0.035790762,0.611111111,0.193943102,0.210955331,2,Olaya Herrera,0.094862814,2,4
419,Unidad Residencial Bueno Madrid,0419,0.017488076,0.274853801,0.284578696,0.206081081,2,Unidad Residencial Bueno Madrid,0.081818182,0,3
420,Flora Industrial,0420,0.014517506,0.693094629,0.339026473,0.183303085,3,Flora Industrial,0.050529747,2,1
421,Calima,0421,0.012477718,0.680221811,0.325439267,0.206417112,3,Calima,0.052823759,2,1
497,La Alianza,0497,0.011213048,0.895061728,0.496432212,0.118303571,3,La Alianza,0.130929791,1,0
501,El Sena,0501,0.020876213,0.755787037,0.372096442,0.183758701,3,El Sena,0.089609287,2,1
502,Los Andes,0502,0.015419083,0.743083004,0.463099631,0.198673667,3,Los Andes,0.088031278,1,0
503,Los Guayacanes,0503,0.017466372,0.539929329,0.34762096,0.208576584,3,Los Guayacanes,0.131354715,2,1
504,Chiminangos II,0504,0.01280426,0.728873239,0.342545639,0.177233815,3,Chiminangos II,0.221065375,2,1
505,Chiminangos I,0505,0.01526922,0.706472197,0.294669167,0.202424584,3,Chiminangos I,0.350025549,2,1
506,Metropolitano del Norte,0506,0.013065647,0.729474306,0.450446144,0.177325096,3,Metropolitano del Norte,0.228029956,1,1
594,Los Parques Barranquilla,0594,0.016038198,0.773920065,0.437438786,0.199558269,3,Los Parques Barranquilla,0.069846082,1,0
595,Villa del Sol,0595,0.012439921,0.854304636,0.535482047,0.143539242,4,Villa del Sol,0.152743985,1,0
596,Paseo de Los Almendros,0596,0.014202172,0.730600293,0.42481203,0.205959684,3,Paseo de Los Almendros,0.097238896,1,1
597,Los Andes B - La Riviera,0597,0.010769844,0.208391608,0.435779817,0.184277801,3,Los Andes B - La Riviera,0.083269525,0,3
598,Torres de Comfandi,0598,0.013996176,0.778654048,0.467456979,0.186313323,3,Torres de Comfandi,0.055421157,1,0
599,Villa del Prado - El Guabito,0599,0.014761766,0.700110742,0.391040631,0.181530384,3,Villa del Prado - El Guabito,0.098517023,2,1
601,San Luis,0601,0.026534695,0.69024472,0.224807834,0.227130045,2,San Luis,0.043814692,2,1
602,Jorge Eliecer Gaitan,0602,0.020580147,0.684405613,0.280493214,0.196447034,2,Jorge Eliécer Gaitán,0.187399848,2,1
603,Paso del Comercio,0603,0.032423669,0.627061311,0.216833288,0.211841155,2,Paso del Comercio,0.099073957,2,4
604,Los Alcazares,0604,0.019854084,0.601133546,0.290515489,0.199058764,3,Los Alcazares,0.090672107,2,1
605,Petecuy Primera Etapa,0605,0.041642456,0.498207885,0.084447027,0.255140579,2,Petecuy Primera Etapa,0.103561047,0,4
606,Petecuy Segunda Etapa,0606,0.039800995,0.566614826,0.117298125,0.248041237,2,Petecuy Segunda Etapa,0.109751709,0,4
607,La Rivera Primera Etapa,0607,0.024167403,0.645968489,0.229885057,0.221732283,2,La Rivera I,0.1640625,2,1
608,Los Guaduales,0608,0.017078916,0.749516815,0.352532391,0.172940738,3,Los Guaduales,0.088490587,2,1
609,Petecuy Tercera Etapa,0609,0.039500436,0.643312102,0.088585536,0.264317181,2,Petecuy Tercera Etapa,0.128892499,0,4
610,Ciudadela Floralia,0610,0.027641742,0.62374649,0.194938373,0.230945417,2,Ciudadela Floralia,0.097118959,2,4
695,Fonaviemcali,0695,0.016877637,0.762439807,0.318037975,0.217002237,3,Fonaviemcali,0.099699399,2,1
696,San Luis II,0696,0.028686736,0.606070604,0.168630017,0.229280167,2,San Luis II,0.115531673,2,4
697,Urbanizacion Calimio,0697,0.030188679,0.619685039,0.178415094,0.208482871,2,Urbanización Calimio,0.103769589,2,4
698,Sector Puente del Comercio,0698,0.021160822,0.701089777,0.376511487,0.17392,2,Sector Puente del Comercio,0.078875663,2,1
701,Alfonso López P. 1a. Etapa,0701,0.03453208,0.60615199,0.157948508,0.205283434,2,Alfonso Lopez P. 1a Etapa,0.175875036,0,4
702,Alfonso López P. 2a. Etapa,0702,0.03761594,0.691268191,0.186533837,0.211676152,3,Alfonso Lopez P. 2a Etapa,0.15284128,2,1
703,Alfonso López P. 3a. Etapa,0703,0.034701907,0.630119723,0.190154343,0.228752552,3,Alfonso Lopez P. 3a Etapa,0.12430622,2,4
704,Puerto Nuevo,0704,0.075496689,0.590443686,0.074172185,0.252906977,1,Puerto Nuevo,0.221260816,0,2
705,Puerto Mallarino,0705,0.052538631,0.484957882,0.088300221,0.263384321,2,Puerto Mallarino,0.248855597,0,2
706,Urbanizacion El Angel del Hogar,0706,0.034338039,0.528604119,0.125143075,0.229614604,2,Urbanización El Angel del Hogar,0.281397889,0,2
707,Siete de Agosto,0707,0.027357266,0.429111531,0.16857699,0.223816029,3,Siete de Agosto,0.163328197,0,4
708,Los Pinos,0708,0.034341363,0.569858713,0.1973347,0.241607045,2,Los Pinos,0.147969052,2,4
709,San Marino,0709,0.052380952,0.498470948,0.098941799,0.249144812,2,San Marino,0.211671612,0,2
710,Las Ceibas,0710,0.023896766,0.683229814,0.29743508,0.211229494,3,Las Ceibas,0.117425951,2,1
797,Parque de la Caña,0797,0.024390244,0.722222222,0.24796748,0.180257511,3,Parque de la Caña,0.105058366,2,1
798,Fepicol,0798,0.024302679,0.715524718,0.266500967,0.168922896,3,Fepicol,0.10412832,2,1
801,Primitivo Crespo,0801,0.027138643,0.55955956,0.219469027,0.224534161,2,Primitivo Crespo,0.08056338,2,4
802,Simon Bolivar,0802,0.029475198,0.412887828,0.1286844,0.232628399,3,Simón Bolívar,0.067077344,0,4
803,Saavedra Galindo,0803,0.035771704,0.532147743,0.172427653,0.242320819,2,Saavedra Galindo,0.057263643,2,4
804,Rafael Uribe Uribe,0804,0.044785669,0.518737673,0.158029431,0.207907294,2,Rafael Uribe Uribe,0.13229104,0,4
805,Santa Monica Popular,0805,0.028107433,0.655172414,0.29481574,0.21674768,3,Santa Mónica Popular,0.113735609,2,1
806,La Floresta,0806,0.026676639,0.584086799,0.187733732,0.263672391,3,La Floresta,0.063977083,2,4
807,Benjamin Herrera,0807,0.018716578,0.585,0.202444614,0.224103184,3,Benjamín Herrera,0.055009107,2,4
808,Municipal,0808,0.024193548,0.504950495,0.240591398,0.194050992,3,Municipal,0.039089347,2,4
809,Industrial,0809,0.01770695,0.685279188,0.30455954,0.213053613,2,Industrial,0.05959983,2,1
810,El Troncal,0810,0.022037853,0.616322702,0.278195489,0.199318801,3,El Troncal,0.035580524,2,1
811,Las Americas,0811,0.017715333,0.592546584,0.270616982,0.217363549,3,Las Américas,0.04051297,2,1
812,Atanasio Girardot,0812,0.021609418,0.674603175,0.288018062,0.239100817,3,Atanasio Girardot,0.076448829,2,1
813,Santa Fe,0813,0.028614874,0.671258907,0.264030965,0.204167881,3,Santa Fé,0.087110761,2,1
814,Chapinero,0814,0.021606285,0.685393258,0.275207333,0.257064094,3,Chapinero,0.122843921,2,1
815,Villa Colombia,0815,0.022719623,0.73110285,0.301077078,0.257708073,3,Villa Colombia,0.104624838,2,1
816,El Trebol,0816,0.024603175,0.746924429,0.267460317,0.209731544,3,El Trébol,0.171139241,2,1
817,La Base,0817,0.020684169,0.697606538,0.340811456,0.213219259,3,La Base,0.125531269,2,1
818,Urbanizacion La Nueva Base,0818,0.021376657,0.684160757,0.359697877,0.215974538,3,Urbanización La Nueva Base,0.160719077,2,1
901,Alameda,0901,0.02462203,0.701230228,0.312311015,0.180831826,3,Alameda,0.046569647,2,1
902,Bretaña,0902,0.017202995,0.666375546,0.324428253,0.21089297,3,Bretaña,0.041674819,2,1
903,Junin,0903,0.019273128,0.645125958,0.32654185,0.201214224,3,Junín,0.043512868,2,1
904,Guayaquil,0904,0.021517028,0.645141823,0.270897833,0.212441124,3,Guayaquil,0.046183546,2,1
905,Aranjuez,0905,0.028804008,0.630379747,0.266750157,0.209226771,3,Aranjuez,0.041391722,2,1
906,Manuel Maria Buenaventura,0906,0.018024032,0.625,0.29105474,0.313202247,3,Manuel Maria Buenaventura,0.037419355,2,1
